22:39:02.204 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
22:39:02.219 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
22:39:02.227 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
22:39:02.227 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
22:39:02.227 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00007420 (PID-specific).
22:39:02.227 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00007420 (PID-specific) has no value.
22:39:02.227 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
22:39:02.251 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=25ms
22:39:02.251 |V| JetEnvironment                | :1                 | HostInit phase completed.
22:39:02.251 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
22:39:02.259 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir E:\Dev_Work\조롱이\Cyberia-Obsidian\DreamFall\Library\RiderFlow\2023.1.0.21\Backend~\bin.
22:39:02.266 |V| DeployedPackages              | :1                 | Scanning folder E:\Dev_Work\조롱이\Cyberia-Obsidian\DreamFall\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
